"zone","doymin","mean_pai","se_pai","mean_pai_toc","se_pai_toc","mean_pai_us","se_pai_us","mean_modis_lai","se_modis_lai","mean_meanpavd","se_meanpavd","mean_sdvfp","se_sdvfp","mean_nirv","se_nirv","mean_fpar","se_fpar","mean_apar","se_apar","mean_sif743","se_sif743","mean_sif743_cor","se_sif743_cor","mean_sif_par","se_sif_par","mean_sifs_par","se_sifs_par","mean_sif_parm","se_sif_parm","mean_sifs_parm","se_sifs_parm","mean_sif_apar","se_sif_apar","mean_phif","se_phif","mean_phifm","se_phifm","mean_fesc","se_fesc","mean_pri_nar","se_pri_nar","mean_cci","se_cci","mean_sif_rel_tropo","se_sif_rel_tropo","mean_ndvi_tropo","se_ndvi_tropo","mean_nirv_tropo_refl","se_nirv_tropo_refl","mean_nirv_tropo_rad","se_nirv_tropo_rad","mean_phifm_tropo_rad","se_phifm_tropo_rad","mean_phifm_tropo_refl","se_phifm_tropo_refl","mean_phif_tropo_refl","se_phif_tropo_refl","mean_fesc_tropo_rad","se_fesc_tropo_rad","mean_fesc_tropo_refl","se_fesc_tropo_refl","mean_sif_fesc_mod","se_sif_fesc_mod","mean_sif_fesc_tr","se_sif_fesc_tr","mean_iprec","se_iprec","mean_vpd","se_vpd","nsif","npai","nsifparm"
"all",1,4.30027088609714,0.0254883443409507,1.56929477768375,0.0291584636415612,2.54481554802953,0.0158221878285111,6.1224779002489,0.0265656816187928,0.0294376337738002,0.000236371267338189,0.0585499101086342,0.000485322969555106,0.26212042883569,0.00119382733976835,0.889436879975896,0.00112818647638389,156106.063082602,1504.88846309745,1.37507209683313,0.0245298651642643,0.472275851372762,0.00869931558057076,2.76123054342781e-06,5.94622492791645e-08,8.03826715125976e-06,1.69265590707194e-07,5.86884774706225e-07,1.22452358355882e-08,1.706764600163e-06,3.4298040225416e-08,3.10992384641196e-06,6.79553563939926e-08,1.04678038519217e-05,2.08878578814465e-07,2.22366754308862e-06,4.23213465333018e-08,0.294978071667557,0.00151148701371588,-0.085053443739908,0.000580027930924151,0.171566771996494,0.00161948581188382,0.00489217220596885,8.2782474462035e-05,0.531863541947447,0.00614992375721918,0.155205954270435,0.00179750774823425,50.8867747868064,0.560109292003975,1.15295955851426e-08,2.06163405485595e-10,3.79838997427265e-06,7.05747807636805e-08,1.79898344201644e-05,3.72209119624162e-07,57.2651667154037,0.646071595121479,0.17463350282493,0.00205697857857723,1.59305265882282,0.0263017367609938,2.72098942787477,0.0439776930872416,62.7540459193073,3.01266548224727,2.41355083879061,0.0116076710671772,309,309,309
"all",17,4.17375485506733,0.0397066725235078,1.41880721691172,0.0330101194726287,2.54308289460904,0.0246393994495053,6.14020596668784,0.0378934239990099,0.0295522125577966,0.000324576382981906,0.0587402168018496,0.000652443710434911,0.260264600404596,0.00132897441393839,0.884999807693262,0.0020646478696218,160494.37050319,1017.24787534452,1.32921717533496,0.0269147251922801,0.448260874775922,0.00914862178565961,2.49620988319925e-06,5.54268481785413e-08,7.39466655542304e-06,1.6120247604246e-07,5.45460216478799e-07,1.1668505119371e-08,1.61624595608125e-06,3.39952191262034e-08,2.81956544547932e-06,6.21155230464672e-08,9.56365871981451e-06,2.0302337985172e-07,2.09202134193764e-06,4.31287209657548e-08,0.29420253565157,0.00149177575354119,-0.0861808190336533,0.000655762504589868,0.152610501292753,0.00228021104894138,0.00444312074257921,9.14546675657411e-05,0.572176199865432,0.0105582788087966,0.17125666386443,0.00325158180011873,57.7397355701644,1.10815834890134,9.91558841299924e-09,2.42043981030301e-10,3.34922183591748e-06,8.31140916758704e-08,1.52236398493754e-05,3.64398672393954e-07,65.3297378601741,1.26800907819657,0.193769158378194,0.00372090601016905,1.52012402154411,0.0296940899713077,2.42481714013368,0.055727841159128,63.798893328855,3.17449541292652,2.48013631905558,0.0137495290917881,226,226,226
"all",33,4.36194905824455,0.0247046608894659,1.56498640729241,0.0229073413121773,2.6268431368236,0.0163671001598727,6.0118933066443,0.0351551234652618,0.0302358275900284,0.000190856936982175,0.0602627899952051,0.000385785686876854,0.260327017808025,0.000931913226445409,0.878708050018404,0.00216460383551848,168033.537373522,1238.84495467718,1.33289977878857,0.0199637296308672,0.448944659232286,0.00681775995191202,2.39571789270008e-06,4.14503456896799e-08,7.11073125697334e-06,1.21401316766808e-07,5.24529628647672e-07,9.17511372150054e-09,1.55589364934487e-06,2.66430531202826e-08,2.75408135635528e-06,5.68277892901513e-08,9.15018412862362e-06,1.45956425548796e-07,2.00875748422133e-06,3.34543725625888e-08,0.297505767318546,0.00185321001892783,-0.081837697676446,0.000576305504322963,0.159999010650197,0.00141701735881789,0.00438336266436468,6.35823512525079e-05,0.533563647745603,0.00552199402838591,0.158410594172215,0.00169620689082879,54.3091966599816,0.53523796481224,9.78451970382804e-09,1.70170382181986e-10,3.37361635636193e-06,6.03200995466047e-08,1.52995887851565e-05,2.5079661204678e-07,62.2337061363177,0.861872673448339,0.181505690212388,0.0026171790623101,1.50720706533818,0.0212344475068142,2.51554401701155,0.0355887496806179,62.6496626645891,2.80509175935584,2.45800631496435,0.0131939594703047,369,369,369
"all",49,4.10313784458019,0.0431364458602521,1.36727302317266,0.0379613022636229,2.52071840763092,0.0268232648040996,6.06208428806729,0.0601173707483983,0.0302749622406231,0.000369123425518814,0.060144673453437,0.00075543517912719,0.28079098617589,0.00175102321780677,0.878070099707003,0.00305225829575453,172218.205480185,2936.64063467486,1.45629136650651,0.0335194992701033,0.492482416718094,0.0115833623669704,2.61806042164253e-06,8.69601073583354e-08,7.73769424795042e-06,2.51749950584e-07,5.72301374804513e-07,1.59056087926049e-08,1.69024786448348e-06,4.54372732648218e-08,2.98438033146208e-06,9.90788157464904e-08,9.3687940526233e-06,3.26531919517557e-07,2.04255646484816e-06,5.84144926519931e-08,0.320217169677487,0.00221963535231188,-0.0851605188791399,0.000876523990313948,0.163665560227276,0.00294034349432122,0.0045527730257764,9.60263779426043e-05,0.565273362213446,0.0084622224516706,0.175861039816781,0.00279177757233342,60.6632854237231,0.897227563428222,9.56013977424351e-09,2.65397785867478e-10,3.31293520752366e-06,9.44819630780899e-08,1.5186928689584e-05,5.18293745588203e-07,69.1173725045305,1.01491102191179,0.200344494755468,0.00315152699212915,1.54335522921322,0.0374057998562711,2.50011048491235,0.0608480285259027,66.4142329463252,4.90117714618525,2.59396778854743,0.0201456530604519,135,135,135
"all",65,4.15525954058676,0.0346067810289424,1.48646298803599,0.02859289492277,2.46340050661203,0.0213879420920434,6.0480691550614,0.0426557968086113,0.0292991141937834,0.000261008431536559,0.0581095047795024,0.000540024658392186,0.281880530573073,0.00139357235173407,0.878204953618896,0.00204679174394661,163514.343504908,1880.59106263934,1.34862016254302,0.0334724787988452,0.459249307437764,0.0115210853411118,2.54270233883813e-06,7.26136821501185e-08,7.46559267053292e-06,2.11029048335937e-07,5.92077624211603e-07,1.54905424925322e-08,1.73844577967539e-06,4.49716400991336e-08,2.90645363197496e-06,8.4670711263168e-08,9.06695508776223e-06,2.65021265823971e-07,2.10353950653886e-06,5.55583724280165e-08,0.32127825491366,0.00167665322639161,-0.0853453997877382,0.00069093382680525,0.170544727508227,0.00231384952822949,0.00426181601696124,0.000102123981648163,0.523936201140094,0.0089938371973213,0.161798416971062,0.00272532352503377,55.8072025567228,0.88407377561297,1.07402916051835e-08,2.81790918841808e-10,3.72063009898795e-06,9.89904268173979e-08,1.6068903999809e-05,4.78702770856047e-07,63.6000689663537,1.01300475839166,0.184379055141186,0.003118113333349,1.42834137813869,0.0351784907765669,2.51768522005008,0.0599143367975141,125.556104317372,5.51572347832047,2.48464231194035,0.0161898559797347,231,231,231
"all",81,4.23189227191769,0.0355312112652714,1.42692120312428,0.0468324008308717,2.59138049641434,0.0259230827767977,6.17533912707348,0.0494880079132493,0.0308129261342847,0.000451203197935361,0.0611167828343352,0.00092588619218774,0.271070185820667,0.00178227080949054,0.885150632687977,0.00243194043134835,130776.757408446,2600.25812390092,1.46701140762592,0.0514331229145758,0.505662356408275,0.018138435712244,3.51192297212988e-06,1.28094355445829e-07,1.01886906288384e-05,3.64072365332119e-07,6.80212286335309e-07,2.5310620236557e-08,1.9727098158505e-06,7.16192586189578e-08,3.96533151078151e-06,1.43609364623866e-07,1.297312465453e-05,4.71774397675235e-07,2.50654606633873e-06,9.07281415797483e-08,0.306556093857172,0.00235605295591091,-0.0788445664303643,0.00134736886192779,0.177883804479834,0.00320024842431672,0.00454914299177256,0.000147944144146869,0.483651596135067,0.0114937321040351,0.158353755574869,0.00399310555545776,53.2341151205964,1.23111669397716,1.30042366120474e-08,4.28171293313391e-10,4.40175199627051e-06,1.48049898116859e-07,2.30006570046923e-05,8.49974221589008e-07,60.1679902005487,1.38638439033228,0.178969474539289,0.00448849317973117,1.65138645237867,0.05834124080816,2.89741739013234,0.0942292426442498,137.023552553994,5.40237341538177,2.38274315979514,0.0156493898429637,98,98,98
"all",97,3.93281773122376,0.0425840047217623,1.3573896435119,0.0335962543292789,2.37893650241117,0.0231619321600611,5.96219912181895,0.0274370995386163,0.0290275751399172,0.000288956815254008,0.0574509239107265,0.000583464438643906,0.269187752486539,0.00133832800386566,0.883668142788823,0.00127526819017472,158416.873524338,1536.06237837631,1.29655793772569,0.0251995778548567,0.445927125510394,0.00876708825060049,2.51970542072694e-06,5.00655979962174e-08,7.32236488390234e-06,1.42761304008597e-07,5.95194160468865e-07,1.19473554943117e-08,1.73073651879818e-06,3.4404881001018e-08,2.85273242306239e-06,5.69127206572502e-08,9.41501647330667e-06,1.94479881870669e-07,2.21422974467883e-06,4.40952432300666e-08,0.304588367987791,0.00142050718093873,-0.0856185681959976,0.000717730747065721,0.174244268949605,0.00217518305677615,0.00474356303810089,9.31044921655556e-05,0.543976108143108,0.00811813332847805,0.162503499852481,0.00221274158775663,50.6076237481231,0.626574154991096,1.19575779472069e-08,2.41066510759408e-10,3.76405679327019e-06,8.1595893264629e-08,1.60841582033608e-05,3.61317352626793e-07,57.2392047750952,0.694459097083916,0.183743501221418,0.00244522478007716,1.4643522399632,0.0280309991484858,2.48540998353102,0.0509432967797061,101.132640966678,3.50688260570842,2.4571424409701,0.0102581132861541,283,283,283
"all",113,4.02247346695079,0.0299514780784776,1.38773685799868,0.0253595161435807,2.43366457325544,0.0159823296119862,5.8459409928137,0.0204583415294278,0.0291889477954354,0.000208414067028877,0.0577324339542394,0.00042569802902281,0.261655812433293,0.000853326100601558,0.881160136341125,0.00103076493043683,151400.186637938,979.44109162759,1.25274555373561,0.0159089342346102,0.431915157005306,0.00554068887609699,2.55783142663733e-06,3.68672675057618e-08,7.41475193239456e-06,1.05336623251289e-07,5.89807270298184e-07,8.04985345349573e-09,1.71064938057624e-06,2.31447916548778e-08,2.90708080991766e-06,4.29573737164709e-08,9.77875297837341e-06,1.39848823182464e-07,2.25051978006151e-06,2.97910151896307e-08,0.297051326731879,0.000971582645861507,-0.0888838130265994,0.000428520948221606,0.176683684729152,0.00134852066752047,0.00478385645710701,6.20216808337789e-05,0.518703094114849,0.00503726408068207,0.1553300780701,0.0014280637430375,46.4961443011692,0.369533804363379,1.28046668063417e-08,1.74316945583899e-10,3.86770810448768e-06,5.59298410591095e-08,1.69118496013159e-05,2.74424464988261e-07,52.7598625194371,0.412928177151526,0.176152040315722,0.00157404800280215,1.45225629886236,0.0179084064381099,2.4941077422925,0.0335184239893371,104.378604449043,2.90858969837914,2.42167128042582,0.00718800426410736,516,516,516
"all",129,4.0963088474983,0.0278842540017762,1.49469814967395,0.0223199790029151,2.422359448228,0.0139524384952206,5.67097300813218,0.018204754745076,0.0287482104918435,0.000180272253621956,0.0566956140685919,0.000364711656525099,0.254172672417538,0.000730215608382912,0.882346695809325,0.000736512177385615,155009.174446588,948.848473505533,1.17744398653307,0.015483487002696,0.404961974879203,0.00535014711135277,2.36916819193425e-06,3.6448507915611e-08,6.8836316650878e-06,1.04814516851891e-07,5.79786549941108e-07,7.89844732656546e-09,1.68550796536286e-06,2.28305458165915e-08,2.68886471576584e-06,4.1885674173033e-08,9.31436413172181e-06,1.40876628504572e-07,2.28142996212933e-06,3.08559579198421e-08,0.28807290700458,0.000794257799927437,-0.0885172712039356,0.000420118429471585,0.170885557936487,0.0011669385840652,0.00483529488749857,6.40508168217662e-05,0.524579452425418,0.00446841317966196,0.153896564145284,0.00129891001105959,43.7178241347603,0.334802026802251,1.34400021703185e-08,1.92265332756289e-10,3.85217890637673e-06,5.84031083479494e-08,1.57100229786659e-05,2.56061272879401e-07,49.5336706740353,0.374207038586095,0.174309809677247,0.00144076372446932,1.40354986309938,0.0180355975510384,2.36102358455573,0.0327108463851144,66.8452439065807,2.26967195085622,2.51527165449409,0.00777068175415694,605,605,605
"all",145,4.02679661001105,0.0215723979344966,1.4069911412909,0.0165468529316126,2.41273224065223,0.0122658829730385,5.5693112945661,0.0129850995608966,0.0292766410979713,0.000151210563358883,0.0576162723176328,0.000305751251619481,0.25083251801244,0.000540858575811682,0.88312334983041,0.000652071182986562,174896.45248784,777.815229978813,1.17332445228925,0.0114992224241803,0.398524266608055,0.00393571700591692,2.0538105941527e-06,2.33628777399093e-08,6.04053949239666e-06,6.74772163601249e-08,5.36917669525507e-07,5.69184016406636e-09,1.57971990821298e-06,1.65346145007373e-08,2.32961211561825e-06,2.70733743775187e-08,8.16858118347716e-06,8.99691103568702e-08,2.13577114590099e-06,2.18992841067895e-08,0.284115191199619,0.000620953541661167,-0.0888717910376759,0.000313027992822515,0.170690044667958,0.00102949886649211,0.00498036415909285,4.92961746718841e-05,0.546261010872304,0.00402721143223762,0.155265838714614,0.000990672782233309,43.349791993165,0.260016199352948,1.26441440864783e-08,1.45084081490372e-10,3.55144257089825e-06,4.2546568406392e-08,1.36325454950338e-05,1.81208536516162e-07,49.0854243974481,0.292135826364953,0.175743091575162,0.00110127096232087,1.4007518602066,0.0133737699974863,2.31657515506302,0.0254406416702201,49.1537267344254,2.05805896473907,2.68637883511712,0.00772839845531794,914,914,914
"all",161,4.1661839882272,0.0124117578714193,1.53185198274755,0.0100408215717028,2.44834123248738,0.00668200717788502,5.65538830467201,0.00711407054948337,0.029051129863054,8.44587055820686e-05,0.0572393135194547,0.000172216963623142,0.250941626434251,0.000291013957582389,0.888249717985238,0.000290658810710993,179196.752134491,470.890827635677,1.22529557545295,0.00675324936957744,0.413884993874788,0.00230944050636023,2.09798600193664e-06,1.47723947075488e-08,6.20504187746906e-06,4.26823404092754e-08,5.39047295533013e-07,3.31247954769309e-09,1.59569075994978e-06,9.69453777756737e-09,2.36446253074825e-06,1.69072830198669e-08,8.34530182052706e-06,5.6883588868794e-08,2.14643264713336e-06,1.2940010186508e-08,0.282514357277255,0.000315589647868302,-0.0903736430115196,0.000165331063600099,0.16996257447507,0.000524437287694791,0.00520905490594629,2.88602971190442e-05,0.550651560336199,0.00219131014912329,0.158718250991246,0.0005640914594214,43.4913233716315,0.139918560171751,1.25577115456605e-08,8.33601521183156e-11,3.46170775274061e-06,2.43092809693536e-08,1.35421781705617e-05,1.17044535833413e-07,48.9547841943407,0.15573257652017,0.178609652763654,0.000623024001111553,1.46355864403132,0.00794773115184971,2.35663262208213,0.0148813710452984,24.505296824863,0.839392902420802,2.674486338318,0.00473889340412017,2286,2286,2286
