"georeg","truedate","mean_dsif740","se_dsif740","mean_sif740","se_sif740","doy","ndsif"
"NWA",2019-07-28,0.479067823657342,0.00399035043820696,1.0245650561571,0.00896431780315967,209,1797
"NWA",2019-08-29,0.457576782842177,0.00311842093506058,1.13314366347981,0.00912781765204369,241,3247
"NWA",2019-09-14,0.457697849191586,0.00649705615076633,0.955901656294484,0.0139990848080335,257,697
"NWA",2019-09-30,0.497678200527447,0.00931131108680069,1.29793046384725,0.0244830903581363,273,643
"NWA",2019-11-17,0.625243649569424,0.0060577649588804,1.91473285050826,0.0184552403382371,321,1375
"NWA",2019-12-03,0.544914062449474,0.0106058869796386,1.36557693565655,0.0283243033662919,337,453
"NWA",2019-12-19,0.544746944943589,0.00321764263636521,1.4482674963696,0.00855028441177048,353,4494
"NWA",2020-01-01,0.561447210229208,0.00233182086601397,1.5411097352915,0.0066943614335338,1,5421
"NWA",2020-01-17,0.445612036057487,0.0031779425007002,0.951317354255924,0.00700090814508631,17,3626
"NWA",2020-02-18,0.534323962827906,0.00337716738687843,1.47994134318799,0.0100647939503804,49,4421
"NWA",2020-03-05,0.520072077835516,0.00420009591671475,1.3634226035621,0.0119746346058314,65,2962
"NWA",2020-03-21,0.463270791511403,0.00219252105570044,1.22630607638519,0.00696139217827721,81,8417
"NWA",2020-04-06,0.555632604774854,0.0137581352329029,0.902080880834701,0.0222995996542214,97,141
"NWA",2020-04-22,0.469950889057564,0.00258395979163811,1.27538872563649,0.00764454706539777,113,6091
"NWA",2020-05-08,0.332659337302543,0.00551622691341135,0.701990267313628,0.0117964787605474,129,1979
"NWA",2020-05-24,0.468726156434068,0.00211796591293908,1.30815209323572,0.00587983047444751,145,11167
"NWA",2020-06-09,0.437041094348689,0.0048379335491575,0.971863849907164,0.010814633858164,161,1099
"NWA",2020-06-25,0.418891715482928,0.00178928851107268,1.17170793582231,0.00561229944021348,177,9711
"NWA",2020-07-11,0.400224908255963,0.00385098700390603,1.01023805200522,0.0110114736440366,193,2018
"NWA",2020-07-27,0.475297066980602,0.00207992858337379,1.4446841699182,0.00642585474202159,209,6942
"NWA",2020-08-12,0.38107262869646,0.00372192508591617,0.953215421310167,0.00961750778480818,225,3305
"NWA",2020-08-28,0.462098588319787,0.00232115482677336,1.32416431350095,0.00694674438762798,241,6101
"NWA",2020-09-13,0.492908983442396,0.00225828272307815,1.23711828867774,0.00672811737539499,257,7114
"NWA",2020-09-29,0.606428690637077,0.00217775681248938,1.62935849114035,0.00680227903444834,273,8690
"NWA",2020-10-15,0.525983209223187,0.00356901056555326,1.38669426441833,0.00990307499764687,289,3723
"NWA",2020-10-31,0.522539704867772,0.00263061243756944,1.35188628360204,0.0077623305293176,305,7000
"NWA",2020-11-16,0.589670041086648,0.002631922269983,1.66961087641938,0.007889085820079,321,5458
"NWA",2020-12-02,0.561039601731093,0.00343744477546878,1.49462241718109,0.0098429937863525,337,2639
"NWA",2020-12-18,0.552258175397998,0.00362615804018338,1.45511508701973,0.0108040877829446,353,3406
"NWA",2021-01-01,0.564564698075263,0.00372267406614115,1.25622244571385,0.0094281353942275,1,3496
"NWA",2021-01-17,0.596071761973725,0.00237989833526685,1.73649544166467,0.00777892343280847,17,7030
"NWA",2021-02-02,0.506382741168103,0.00737230789839501,0.942091224739055,0.0137312757491859,33,778
"NWA",2021-02-18,0.52588343264767,0.00258842481596872,1.43118221214528,0.00761160601483598,49,6773
"NWA",2021-03-06,0.409050319957429,0.00605505253354995,0.89403344366173,0.0136838185002479,65,1882
"NWA",2021-03-22,0.554219801188886,0.00248528749774178,1.58343170780379,0.00749296197590129,81,6085
"NWA",2021-04-07,0.468142608819602,0.00320384804222076,0.936816841174082,0.00649599898030668,97,3297
"NWA",2021-04-23,0.437876475068133,0.00298409434589134,1.21996634241392,0.00817331173697037,113,5542
"NWA",2021-05-09,0.406586339723625,0.0080492182710205,0.97586283400106,0.0203849204224235,129,1412
"NWA",2021-05-25,0.409300342702406,0.00182933107243976,1.18831504453355,0.0055134058677357,145,11022
"NWA",2021-06-10,0.434629114099029,0.00248840396820909,1.05890791692704,0.00639348141052582,161,4147
"NWA",2021-06-26,0.439536779779419,0.00175721352519562,1.33729933110134,0.00545340475573243,177,9041
"NWA",2021-07-12,0.397950314369858,0.00240722831245368,1.12846065441351,0.00727143785822885,193,5348
"NWA",2021-07-28,0.470321795669817,0.00397840534620604,0.901155067970717,0.00768352494333381,209,1868
"NWA",2021-08-13,0.492596688108795,0.00356989816438091,1.35314076019686,0.0117111202986813,225,2977
"NWA",2021-08-29,0.461851357922324,0.00180459739549014,1.18177700425477,0.00556972362988676,241,9219
"NWA",2021-09-14,0.559244071165948,0.00242195296361004,1.58893948648035,0.00812812036930285,257,8364
"NWA",2021-09-30,0.607192727037204,0.0023647212041443,1.63637196428471,0.00702638550906232,273,7486
"NWA",2021-10-16,0.582987683271163,0.00251320935810811,1.48956513658663,0.00825552907422716,289,7045
"NWA",2021-11-01,0.629363374320051,0.00383727636140603,1.62011832752448,0.0111187563842675,305,3741
"NWA",2021-11-17,0.582972457606059,0.00182208927850979,1.6305522572354,0.00554562322317519,321,11730
"NWA",2021-12-03,0.557248391729102,0.00430518194505588,1.40110846762162,0.0107946642036165,337,1395
"NWA",2021-12-19,0.558424076840201,0.00275146373999141,1.51931087746232,0.00837033644116817,353,5979
"NOA",2019-07-28,0.479184497047115,0.00468884949347055,1.14557303662773,0.0113648671091223,209,1776
"NOA",2019-08-29,0.424323451857016,0.00283915710112711,0.958865231898597,0.00767638414413424,241,4726
"NOA",2019-09-14,0.384706320424374,0.00817310791330896,0.784919269570497,0.0166598282296817,257,437
"NOA",2019-09-30,0.540550459735404,0.00342589397134219,1.24424828219505,0.00834821403320397,273,3638
"NOA",2019-11-17,0.536297283211691,0.00284594631547203,1.61370430715748,0.00845008152598226,321,3904
"NOA",2019-12-03,0.545261957083538,0.0123461159735328,1.55144778634333,0.0358457752090694,337,628
"NOA",2019-12-19,0.50379859619111,0.00282949062880829,1.41268672482708,0.00842013990434687,353,5137
"NOA",2020-01-01,0.504547891065693,0.00143676977068843,1.3738309611937,0.00432864862301322,1,16854
"NOA",2020-01-17,0.423122893330312,0.00279829355522406,1.10329010132936,0.00852024013414707,17,4274
"NOA",2020-02-18,0.523943358618146,0.00196292975052629,1.52855196926626,0.00606583389419183,49,11033
"NOA",2020-03-05,0.520434359721128,0.00326861737598528,1.30121037890274,0.00840267751423218,65,5091
"NOA",2020-03-21,0.500687003769637,0.00206290520349218,1.3858874610474,0.00641650137889714,81,9402
"NOA",2020-04-06,0.4831892370097,0.00352329497067918,0.871352685992141,0.00653362576790394,97,3199
"NOA",2020-04-22,0.511011596043512,0.00191251396203084,1.40981566779867,0.00563700997505269,113,11249
"NOA",2020-05-08,0.350437226883695,0.00407549546152463,0.636177145902879,0.00739709805358567,129,3048
"NOA",2020-05-24,0.493205505059967,0.00163397034039804,1.35937569860676,0.00486012915974228,145,14664
"NOA",2020-06-09,0.460854933424481,0.00235996303149975,0.942260642407453,0.00501335723146459,161,6246
"NOA",2020-06-25,0.440652611111504,0.00162001144667873,1.17254094808709,0.00460185007303985,177,14688
"NOA",2020-07-11,0.377421592923308,0.00417124748684835,0.855765994675797,0.0107699010307319,193,2279
"NOA",2020-07-27,0.482932879941633,0.00178822990188564,1.31794973472221,0.00526255470644216,209,9828
"NOA",2020-08-12,0.527624591876622,0.00231557114139671,1.27711791899909,0.00715242435818255,225,7441
"NOA",2020-08-28,0.491521125369597,0.0016833415793968,1.32073841098025,0.00527641244663945,241,15615
"NOA",2020-09-13,0.478134275907746,0.00205623352699406,1.23252411537444,0.00651375746860486,257,9202
"NOA",2020-09-29,0.53891639077342,0.00190059162842708,1.42485959832246,0.00582167357708113,273,11315
"NOA",2020-10-15,0.52825012454108,0.0015967519971652,1.43364017806661,0.0049537161992246,289,13741
"NOA",2020-10-31,0.528783697126235,0.00260474304840264,1.3939961897078,0.0072911550843311,305,6481
"NOA",2020-11-16,0.547428759975562,0.00244571198161988,1.56191166729104,0.00728060977900112,321,5816
"NOA",2020-12-02,0.486103488285207,0.00370001051742046,1.37124377245589,0.0115585670971285,337,2815
"NOA",2020-12-18,0.490615691403754,0.00202574260622733,1.35469113437374,0.00630253673701706,353,8876
"NOA",2021-01-01,0.500349268105916,0.0026633948890492,1.28024979752189,0.00713165582138589,1,5853
"NOA",2021-01-17,0.542710185211842,0.00200379396979466,1.65666525201974,0.00617792110137323,17,8892
"NOA",2021-02-02,0.475247843405171,0.00374288649520065,0.994673556981537,0.00873795050158891,33,3688
"NOA",2021-02-18,0.48535250129516,0.00202793243280716,1.31098657006859,0.00594928940678625,49,10159
"NOA",2021-03-06,0.434194228938791,0.00459456927969894,0.87925597599575,0.00957908747540734,65,2527
"NOA",2021-03-22,0.536610731145232,0.00244936129783928,1.57155810042533,0.0074164430626705,81,7122
"NOA",2021-04-07,0.487650449491647,0.0025334869512101,1.01201095106064,0.0055839060908219,97,5682
"NOA",2021-04-23,0.493308372921223,0.00215625927387082,1.31124569537525,0.00589034395494837,113,11030
"NOA",2021-05-09,0.381675516637204,0.00334735087896305,0.788507704663297,0.00737880031829645,129,3401
"NOA",2021-05-25,0.451115908506378,0.00148812584777119,1.20274298942424,0.0043544083272446,145,19055
"NOA",2021-06-10,0.445468864761252,0.00230946206636454,1.06934933520139,0.00598253998177945,161,5597
"NOA",2021-06-26,0.448622396375116,0.00215335295168356,1.26333328534133,0.00660636277106885,177,9435
"NOA",2021-07-12,0.391559586174605,0.0023625105967386,0.966244101581604,0.00645519903700285,193,6247
"NOA",2021-07-28,0.517196743488312,0.0101943882586114,1.470176217556,0.0282295184764904,209,400
"NOA",2021-08-13,0.526105057294322,0.00201848326298342,1.50664702576838,0.00638831347142674,225,8912
"NOA",2021-08-29,0.473458997368546,0.00195565412669787,1.22787181231486,0.00600009085891454,241,11522
"NOA",2021-09-14,0.471239666534877,0.00172916890907007,1.26976489186144,0.00544453755621315,257,12455
"NOA",2021-09-30,0.548578259628683,0.00251699202232723,1.49437304452707,0.00790200535883611,273,6710
"NOA",2021-10-16,0.543960276023023,0.00197207660815238,1.50329903151781,0.00600239211163794,289,10355
"NOA",2021-11-01,0.537856830905263,0.00202805408565693,1.41125170261828,0.00564765593706915,305,9687
"NOA",2021-11-17,0.523131560587534,0.00191267586694911,1.53588278582325,0.00579885134004007,321,9926
"NOA",2021-12-03,0.474345246095757,0.00561183213372582,1.23618518293647,0.0151311157218858,337,2649
"NOA",2021-12-19,0.487341179407118,0.00206047699457306,1.40709828485532,0.00647049044004655,353,8409
"CA",2019-07-28,0.475020611690263,0.00300497989070006,1.08316432116395,0.00765834227396109,209,2832
"CA",2019-08-29,0.441690096849883,0.00253432259893522,1.02004264903359,0.00662503071982881,241,4515
"CA",2019-09-14,0.406221960704183,0.00385758247609913,0.931962139358402,0.00907167593982103,257,1951
"CA",2019-09-30,0.613546193387993,0.00897811900150899,1.45558400965331,0.0222527861283265,273,482
"CA",2019-11-17,0.574889872079659,0.00393572315535643,1.72709145158737,0.0118125091733465,321,2155
"CA",2019-12-03,0.505377949523926,0.0087448576534932,1.24751774902344,0.0237534625858993,337,625
"CA",2019-12-19,0.555577734574913,0.00419501003831434,1.48245571564863,0.0120985087263964,353,1870
"CA",2020-01-01,0.545135141512998,0.00216920488043559,1.53204330623966,0.00647665855517674,1,6647
"CA",2020-01-17,0.531960109443284,0.00391619399065509,1.43237353974316,0.0128228035631827,17,2796
"CA",2020-02-18,0.551374104658957,0.00349076980853808,1.56902398130926,0.0110479146519145,49,3284
"CA",2020-03-05,0.510462351085433,0.00281586686944366,1.21587712232469,0.00769206457719918,65,5402
"CA",2020-03-21,0.503922870675199,0.0022233502019857,1.42953526299726,0.00654629878487664,81,7004
"CA",2020-04-06,0.567583560943604,0.0612685286758757,1.17137145996094,0.121977996847865,97,18
"CA",2020-04-22,0.478410923533503,0.00221390358199026,1.26861720748335,0.00661061614022612,113,6356
"CA",2020-05-08,0.382418516286312,0.00549660356453057,0.813091053357697,0.0125182632715612,129,2593
"CA",2020-05-24,0.444912238626382,0.00262827086147416,1.19394647618546,0.00713515535073273,145,8747
"CA",2020-06-09,0.428679052682533,0.00254928163450479,0.929834302572593,0.0059068578065301,161,3738
"CA",2020-06-25,0.402720272050219,0.00129874431285873,1.12978705702567,0.00401413656508125,177,14451
"CA",2020-07-11,0.373241608848513,0.00319051041769505,0.929664570887087,0.00925001053867057,193,4497
"CA",2020-07-27,0.489001876065308,0.00121855551626118,1.41148753766482,0.00401218824406352,209,13222
"CA",2020-08-12,0.388250376007845,0.00291580548823374,0.997728863302511,0.00771228804722644,225,7346
"CA",2020-08-28,0.468951418069198,0.00131344187915966,1.2788411943521,0.00427523082830602,241,16579
"CA",2020-09-13,0.499227821939838,0.0018786056431842,1.33956083335749,0.00620928894689827,257,11087
"CA",2020-09-29,0.591046898730656,0.00237359582810792,1.40504809920303,0.00848657515126718,273,5986
"CA",2020-10-15,0.562526147500917,0.00240203381472252,1.47626207609885,0.00713599704881503,289,5725
"CA",2020-10-31,0.586636397226761,0.00227998477567439,1.53114396525637,0.00636433460467407,305,6987
"CA",2020-11-16,0.625807867770056,0.00271622565386594,1.67168163065073,0.00810486967917823,321,5458
"CA",2020-12-02,0.514174697983686,0.00350417046912436,1.32147481663453,0.00986358727952477,337,3577
"CA",2020-12-18,0.527058185501532,0.00246903094833492,1.39320851125839,0.00719192647878374,353,5632
"CA",2021-01-01,0.522446098309609,0.00291329237915224,1.36269992274462,0.00826012478704207,1,4232
"CA",2021-01-17,0.563597872505457,0.00272248406158508,1.57346794321697,0.0091283145023857,17,5398
"CA",2021-02-02,0.531439407055194,0.00342772654143828,1.16516189224346,0.00773160076529192,33,2990
"CA",2021-02-18,0.505326558570599,0.00205752121682653,1.2783645065736,0.00667485808866449,49,8853
"CA",2021-03-06,0.451890271339044,0.00307188120854478,1.05698395618565,0.0074770749220153,65,4298
"CA",2021-03-22,0.543319155953147,0.00238184915329181,1.63134721350413,0.00744815508071154,81,6490
"CA",2021-04-07,0.455562562523726,0.00284918837541445,0.873728849692736,0.00551293000656321,97,4008
"CA",2021-04-23,0.487485119913925,0.00361892440260991,1.32672741012972,0.00877335397468495,113,7859
"CA",2021-05-09,0.361501601002928,0.00363026383480322,0.752736907759848,0.00766848162611138,129,3065
"CA",2021-05-25,0.45939984764794,0.0020101925780163,1.28645242759198,0.00597186270536873,145,10802
"CA",2021-06-10,0.411422928537226,0.00204515028748726,0.982499096854456,0.00517257051267831,161,5256
"CA",2021-06-26,0.399532217252053,0.00163190610569323,1.0932082653854,0.00495363170628949,177,11800
"CA",2021-07-12,0.376032334923516,0.00194594600807271,0.945930510734657,0.00566219883982656,193,7238
"CA",2021-07-28,0.433444229495369,0.00337185337698395,1.36691034732584,0.010614625784721,209,2685
"CA",2021-08-13,0.472340176662676,0.00235604191149093,1.30588838250307,0.00788319954162596,225,5781
"CA",2021-08-29,0.456661002960029,0.00163304781112074,1.1933365610107,0.00485791225561822,241,11337
"CA",2021-09-14,0.48645447599763,0.00199762210699953,1.23701362569444,0.00644080988077306,257,8966
"CA",2021-09-30,0.623021617448277,0.00295478610991745,1.67391130745684,0.00906895848402596,273,3926
"CA",2021-10-16,0.580187247287832,0.00243640600901797,1.62000793980628,0.00786602332857557,289,7118
"CA",2021-11-01,0.579464114403075,0.00228389992444203,1.46865735577906,0.00633880748579377,305,6972
"CA",2021-11-17,0.632895294579392,0.00249576480298162,1.90152507463238,0.0075404086136608,321,5948
"CA",2021-12-03,0.554933280549411,0.00491575267087875,1.14419423824962,0.0114308684736712,337,1833
"CA",2021-12-19,0.547079276766969,0.0035439651458201,1.50346127384793,0.0109063989188017,353,2809
"Southern",2019-07-28,0.482092870563029,0.00238262348416119,1.07642978916855,0.00536210549920234,209,5201
"Southern",2019-08-29,0.478837767005564,0.00427734122561638,1.05324321018489,0.00852964295619976,241,5777
"Southern",2019-09-14,0.422173397733486,0.00400428790428395,0.976946622867869,0.00939846696508667,257,2069
"Southern",2019-09-30,0.576652293580952,0.00347858632250702,1.29626450232304,0.00853840003413053,273,4125
"Southern",2019-11-17,0.742103107348404,0.00708642121929569,2.24342649191661,0.0213092772041382,321,1394
"Southern",2019-12-03,0.656840093792746,0.00546546885431468,1.71659828227686,0.0149172797154542,337,3114
"Southern",2019-12-19,0.620458126965499,0.00316363611813183,1.55204748638274,0.00865180817142325,353,5845
"Southern",2020-01-01,0.724388124209727,0.00265904499601653,1.78900128302499,0.00780926197101823,1,9819
"Southern",2020-01-17,0.625104999794978,0.00380784741499885,1.47792497624778,0.0105752650147029,17,4528
"Southern",2020-02-02,0.692364043548328,0.00959846762113409,1.84667746359561,0.0260409835935458,33,952
"Southern",2020-02-18,0.605875070166936,0.00261390910301912,1.70961127445914,0.00810109294276859,49,7729
"Southern",2020-03-05,0.605951363495529,0.00359243633705521,1.57695835964027,0.0111462788572001,65,4936
"Southern",2020-03-21,0.561984582593045,0.00149368186990362,1.62930302232504,0.00450951515791548,81,19200
"Southern",2020-04-06,0.567531383954561,0.0127917603470533,1.00801798930535,0.0231416983206882,97,416
"Southern",2020-04-22,0.494500068601514,0.00147630415981533,1.41886382720989,0.00446379722065298,113,16218
"Southern",2020-05-08,0.393059578034316,0.0027243921587673,0.923880951683279,0.0065401659482404,129,6604
"Southern",2020-05-24,0.425343859821641,0.00141595445915522,1.16579844412409,0.00401125841479807,145,17045
"Southern",2020-06-09,0.459303608844865,0.00308411796426996,0.975079731159846,0.00662054556683567,161,2679
"Southern",2020-06-25,0.387351509614969,0.00105795654423923,1.132226666847,0.00302056064504529,177,39954
"Southern",2020-07-11,0.331272217868805,0.00243220399528357,0.846762412264723,0.00687661187829413,193,6363
"Southern",2020-07-27,0.464019049243184,0.00119141274167994,1.36331686295338,0.00369284582016652,209,21774
"Southern",2020-08-12,0.440710492306919,0.00179625157360335,1.05016057668236,0.0047797580338962,225,11009
"Southern",2020-08-28,0.443266504595023,0.00110026805622545,1.24275805243576,0.00337404376378521,241,28097
"Southern",2020-09-13,0.465468133490209,0.00175984098901416,1.23722136256142,0.00530722371205236,257,16149
"Southern",2020-09-29,0.562086079595537,0.00153629911737402,1.53632715329987,0.00465946932563264,273,22702
"Southern",2020-10-15,0.585611066671028,0.00227054708252029,1.50446753209464,0.00663759243143886,289,9588
"Southern",2020-10-31,0.66273556211815,0.00222087796375724,1.66597209052778,0.0059520037653452,305,11414
"Southern",2020-11-16,0.672965366641625,0.00179196112988204,1.80543333010194,0.00531131666129416,321,17449
"Southern",2020-12-02,0.626212361815626,0.00300498359407758,1.40412350166629,0.00719881814948233,337,7065
"Southern",2020-12-18,0.650600293091392,0.00299969573590972,1.68438403178641,0.0082391233055665,353,7017
"Southern",2021-01-01,0.701613090371851,0.00255419919384841,1.61342598536826,0.0068018223167918,1,9371
"Southern",2021-01-17,0.750014913648607,0.00290441068598522,2.13107070425208,0.00921553310577701,17,7723
"Southern",2021-02-02,0.530400609442435,0.00523690686029422,1.0152931940993,0.0105458460409393,33,1717
"Southern",2021-02-18,0.61623656223491,0.00215567021480635,1.72880724583393,0.00648042383466181,49,10715
"Southern",2021-03-06,0.514360802573558,0.00295831422459847,1.22926682397149,0.00719960590738803,65,6313
"Southern",2021-03-22,0.581203127691612,0.00161205324349875,1.64303443638431,0.00494705949696555,81,17693
"Southern",2021-04-07,0.550693767236253,0.00362566476673312,1.05326702248468,0.00722123386734857,97,3112
"Southern",2021-04-23,0.432519567350233,0.00153184409887559,1.23256337816251,0.00433554688795217,113,22114
"Southern",2021-05-09,0.37473385382729,0.00186397375096046,0.878996810924232,0.00472329916488514,129,8565
"Southern",2021-05-25,0.461267667022104,0.000985353263310485,1.37176121982961,0.00306863395472952,145,27208
"Southern",2021-06-10,0.418551527548329,0.00176181632844182,0.962241067357999,0.00424911696993244,161,7978
"Southern",2021-06-26,0.408807198541686,0.00114665420482993,1.19320949771861,0.00360390721958918,177,21107
"Southern",2021-07-12,0.35259894879804,0.00140061882945629,0.977098560570604,0.00411739502179118,193,17277
"Southern",2021-07-28,0.501989917256221,0.0027338595576256,1.04597509880075,0.00614067028387879,209,4473
"Southern",2021-08-13,0.454948863196104,0.00215657418079152,1.25855947100023,0.00663902122802422,225,7973
"Southern",2021-08-29,0.426723980316111,0.00132531226564967,1.1783132410187,0.00380847358267891,241,27026
"Southern",2021-09-14,0.44217421201506,0.00168038148711259,1.16531325739925,0.00497924430811358,257,18639
"Southern",2021-09-30,0.596370257948027,0.00239824324367308,1.46434972325678,0.00672792792996361,273,8460
"Southern",2021-10-16,0.593173372405609,0.00180040982204914,1.53721385048157,0.00559165270504303,289,18026
"Southern",2021-11-01,0.664783844189042,0.00234612640891261,1.75183727677943,0.006667879371807,305,11978
"Southern",2021-11-17,0.68623811812298,0.00205527455998226,1.84786947844569,0.00635084267524635,321,15934
"Southern",2021-12-03,0.621727081015033,0.00477290729917148,1.40243931753448,0.0103897618598473,337,2769
"Southern",2021-12-19,0.665655869616997,0.00300694584519695,1.81168523735353,0.00892023553267953,353,6322
